protein name	cluster
SEPTIN1	1
SEPTIN5	1
SEPTIN12	1
SEPTIN2	1
SEPTIN11	1
POU1F1	2
ARSA	2
EID2B	2
CCDC22	2
ANXA11	2
BBC3	3
HSF2	3
WDR5	3
ZXDC	3
MBIP	3
THAP1	4
STAC3	4
HMGXB4	4
RPL22	4
FGF11	4
RNF20	5
CDC73	5
NINL	5
RNF40	5
NCBP1	5
LMO4	6
STAC	6
ZNF135	6
BBS2	6
KYNU	6
PPM1J	7
SPG21	7
HSBP1L1	7
TSNAXIP1	7
PCNA	7
TFIP11	8
WAC	8
KIAA0753	8
HIP1R	8
ABLIM3	8
TACC3	9
KLC1	9
GDF15	9
BICRAL	9
MAPK8IP3	9
INPP5J	10
DUSP13	10
TP63	10
PELI1	10
LMNA	10
BOLA2B	11
BOLA2	11
CLCNKA	11
BOLA1	11
SLITRK5	11
MIA3	12
SEC23A	12
SEC23B	12
ERLIN1	12
SEC23IP	12
TRIM45	13
PTGES3L-AARSD1	13
ZMYND19	13
SCN5A	13
TOX4	13
RYBP	14
TSPYL2	14
XAGE1A	14
XAGE1B	14
NOP53	14
PAX7	15
CIB1	15
GLIS3	15
EIF4G1	15
LSS	15
MAGEB4	16
ACOT11	16
GOLGA6L2	16
TRAK1	16
NEUROD4	16
GADD45G	17
CNOT9	17
ZNF664	17
GADD45A	17
RRP7A	17
NMI	18
BRAT1	18
HHLA3	18
MYOM3	18
HDDC3	18
MATR3	19
PTBP2	19
SNRPA	19
MRPL15	19
RBM4B	19
YES1	20
FYN	20
BLK	20
STAP2	20
SOCS3	20
CINP	21
CEP57L1	21
CCDC112	21
PRRX1	21
MMADHC	21
CIB3	22
NANOS3	22
ARMC8	22
ZNF180	22
ZSCAN5A	22
DCBLD2	23
UBIAD1	23
CYB5B	23
IGSF9	23
PAQR5	23
GAD2	24
RMDN2	24
CYB561D1	24
RWDD2B	24
FAM163A	24
TERF1	25
ARHGEF3	25
LRCH3	25
DNAAF11	25
SSX7	25
RAB27B	26
MLPH	26
SYTL5	26
MYRIP	26
RAB27A	26
FKBP7	27
ZNF629	27
MDK	27
OCIAD1	27
SNX12	27
GIMAP6	28
DDIT3	28
BATF3	28
CREBL2	28
JDP2	28
CDC14B	29
SPANXN2	29
ZNF84	29
ZNF2	29
NOL12	29
NFKBID	30
ATP6V0D2	30
HOXD3	30
RBM14	30
RFX2	30
LARP4	31
YAF2	31
MARK1	31
TGM5	31
SSBP1	31
PSMB1	32
CCM2L	32
AHSP	32
ARHGEF6	32
USE1	32
MGAT5B	33
EIF4EBP1	33
EIF4ENIF1	33
TYRO3	33
EIF4E2	33
ATF4	34
ECSIT	34
ATF5	34
NAP1L5	34
CEBPG	34
KLHL12	35
KLHL3	35
KLHL24	35
PDGFRB	35
DVL1	35
TIAL1	36
RBPMS2	36
RBFOX2	36
PCBP1	36
SERF2	36
MCRS1	37
JAKMIP1	37
ERF	37
BRD8	37
TADA2B	37
CRMP1	38
DPYSL2	38
DPYSL3	38
DPYSL5	38
CFAP161	38
ZNF775	39
EHMT2	39
KLF3	39
HIC2	39
KLF12	39
IFT57	40
FAM81B	40
OXNAD1	40
IFT20	40
KDM8	40
WBP1	41
RILPL1	41
EPN2	41
OTUB2	41
PIP4P1	41
OTX2	42
AURKC	42
B4GALNT2	42
RPS26	42
TBCEL	42
EFNA5	43
TSPAN33	43
UPK1B	43
GPR161	43
SDHAF4	43
GIMAP5	44
SERP2	44
GIMAP1	44
ITGAM	44
DKK4	44
FOXR1	45
DPPA4	45
CIR1	45
GRAP	45
TOX	45
EMP1	46
TMEM262	46
ISLR2	46
CD37	46
LRRC3B	46
MAJIN	47
LYSMD1	47
TRIM69	47
FKBP1B	47
NEK8	47
ZMYND12	48
THOC1	48
UNC5CL	48
MOAP1	48
PPP2R3C	48
LDB1	49
SSBP4	49
LHX9	49
LMX1B	49
LHX1	49
ASPH	50
NUCB2	50
PDGFA	50
TNFRSF10B	50
SOD3	50
GOLM1	51
KLHL6	51
SLC5A4	51
TMPO	51
CNPY3	51
TSPYL4	52
MAGEA4	52
ACAP1	52
UQCRB	52
PUDP	52
RIPOR3	53
RHOA	53
ARHGEF2	53
RPP25L	53
POP7	53
MORN4	54
SYTL2	54
WBP11	54
TRIM44	54
ZNF131	54
SQSTM1	55
ATG4B	55
PRKCI	55
MAP2K5	55
GABARAP	55
MYO5B	56
RAB11FIP2	56
SH3BP5L	56
RAB11B	56
