protein name	cluster
KRTAP13-2	1
KRTAP11-1	1
STK16	1
ETFDH	1
CSKMT	1
OR7A17	1
PIBF1	2
KIF9	2
STEEP1	2
ALAS1	2
UTP14C	2
RBM48	2
MUC1	3
SCAMP5	3
GDNF	3
APP	3
PRR20B	4
PRR20A	4
PRR20D	4
PRR20C	4
PRR20E	4
FOXP3	4
NOTCH3	4
MBNL3	4
RBM23	4
CELF4	4
BEND2	4
TBX3	4
ZNF683	4
RBM42	4
TFG	5
VPS37C	5
PEF1	5
PDCD6	5
STH	5
ILF3	5
TRMT12	6
NUDT1	6
FMNL3	6
DMRTB1	7
GRAP	7
TOX	7
FAM221B	8
PLSCR2	8
LYPD1	8
FUCA2	9
NUFIP2	9
LCE1E	9
LCE1A	9
LCE4A	9
KRTAP5-3	9
LCE1B	9
KRTAP5-2	9
KRTAP4-12	9
KRTAP10-1	9
KRTAP1-3	9
KRTAP5-9	9
KRTAP9-8	9
KRTAP9-3	9
ADAMTSL4	9
LCE1C	9
LCE1F	9
KRTAP9-2	9
KRTAP10-7	9
CREB5	9
KRTAP10-9	9
LCE2B	9
SMCP	9
CRCT1	9
LCE1D	9
LCE3E	9
LCE2D	9
KRTAP1-5	9
LCE3C	9
RGS20	9
KRTAP4-5	9
ALPP	9
LCE5A	9
LCE2C	9
LCE3B	9
KRTAP4-2	9
LCE2A	9
KRTAP5-11	9
KRTAP4-11	9
LCE3A	9
RGS17	9
LCE3D	9
KRTAP5-6	9
KRTAP5-4	9
OIT3	9
KRTAP4-4	9
MACO1	9
NAPSA	9
TEX48	10
ZNF441	10
PCSK6	10
RIC8A	11
SLC2A13	11
ATP1A4	11
MYOZ3	12
KRT36	12
IFI35	12
BCAS2	12
C10orf82	12
GJA8	13
KIR2DL3	13
CISD2	13
TMEM243	13
CYBC1	13
CLN6	13
RNF152	13
GPR108	13
CLEC7A	14
TMPRSS2	14
SGCB	14
CNIH2	14
PTTG1IP	14
IFNGR1	15
STIM1	15
SLC9A6	15
SPATA12	16
CIDEC	16
NR0B2	16
SMIM3	17
SGCB	17
SGCZ	17
SLC22A1	17
KRT19	18
KRT38	18
KRT74	18
KRT72	18
KRT5	18
KRT25	18
FOXP2	19
LIX1	19
TSACC	19
CTDSP1	20
YPEL5	20
MAPKBP1	20
MBP	20
NUTM1	21
LRRC8E	21
SAMD4B	21
ZNF277	21
PCNA	22
TERF1	22
PCLAF	22
AC087632.2	22
AL049697.1	23
CFAP206	23
CDX2	23
TADA2B	23
C9orf153	23
SPEG	24
PRMT1	24
PRMT8	24
SYNCRIP	24
EVI5L	25
RBM7	25
ANKRD36	25
ANKRD28	26
PTRH1	26
KCNV2	26
IER3IP1	27
AC012254.2	27
CERS2	27
TMEM167A	27
POMK	27
TM4SF4	28
VSTM1	28
GJB5	28
APH1B	28
LIN7B	29
MPP3	29
LIN7A	29
LIN7C	29
PALS2	29
MPP2	29
MINDY3	30
TRIM49	30
TRIM49C	30
KPNA6	31
NUP50	31
RNMT	31
DCPS	31
KPNA2	31
ARHGAP45	32
GMIP	32
ZUP1	32
NUTF2	33
NME4	33
NME1	33
PFKP	33
DEFB127	34
PIANP	34
AURKAIP1	34
CBX5	35
CBX3	35
SP100	35
SUV39H1	35
ZNF280C	35
CBX1	35
KRT39	36
KRT19	36
KRT78	36
KRT74	36
KRT6B	36
KRT25	36
C1orf35	37
RNF151	37
FAM133A	37
CT45A1	37
FGF12	37
RBMX2	37
ZCCHC10	38
STAC3	38
HMGXB4	38
RPL22	38
FGF11	38
CLCA4	39
PANX1	39
SLC22A23	39
WFDC2	39
NUTF2	40
PPP1R16A	40
MYOM1	40
CKMT1A	40
CKMT1B	40
CD164L2	41
MS4A7	41
DRAM1	41
HNRNPC	42
HNRNPCL1	42
HNRNPCL2	42
RALY	42
RALYL	42
TIGD3	42
SKA2	42
PCDHB14	43
TRA2B	43
RBMY1F	43
RBMY1J	43
RBMX	43
RBM3	43
RBMY1A1	43
APOBEC3C	43
PRR3	43
ZNF317	43
RBMY1E	43
SORT1	44
ADGRG7	44
BDNF	44
EFNA5	45
SLC13A4	45
GPR161	45
ACKR2	45
ZMYM6	46
CTCF	46
BEND2	46
RFX2	47
FOXJ1	47
FOXN4	47
ZDHHC21	48
SCGB1D1	48
CHODL	48
DIABLO	49
SFT2D1	49
DERL2	49
TMEM255B	49
HEMK1	50
PEF1	50
SOHLH1	50
STH	50
CASP3	50
SCAND1	51
ZSCAN22	51
ZNF446	51
ZSCAN16	51
ZKSCAN4	51
ZSCAN32	51
ZSCAN21	51
ZNF232	51
ZNF24	51
ZNF396	51
ZSCAN23	51
ZNF174	51
ZKSCAN7	51
XBP1	52
UBE2V1	52
SHISA4	52
ITM2A	53
SIT1	53
TMED9	53
PUS10	54
C4orf19	54
ABITRAM	54
NELFCD	55
NELFB	55
NELFE	55
SESTD1	56
DACT3	56
ZNF830	56
APOC4-APOC2	57
APOC4	57
PORCN	57
GSDMA	57
IFI27	57
RTL8B	58
PEG10	58
RTL8A	58
GOLGA7	59
KCNIP2	59
FAM72D	59
HNRNPH2	60
MSI1	60
MSI2	60
ALKBH7	61
B9D2	61
CENPN	61
TDO2	62
NR1D1	62
ASMTL	62
RAB33A	63
ATG16L1	63
RAB33B	63
RUFY2	63
SEPTIN1	64
SEPTIN5	64
SEPTIN12	64
SEPTIN6	64
SEPTIN11	64
ARHGDIG	65
MED10	65
FUCA1	65
OARD1	66
TNKS	66
ADPRS	66
FBXW5	67
JOSD1	67
FBLN2	67
ERP27	68
GOLGA8F	68
C12orf60	68
ZBTB26	69
ZBTB6	69
ZBTB12	69
ZBTB48	69
ZBTB9	69
BEX3	70
JADE2	70
ING4	70
ING5	70
JUNB	71
COX8A	71
BATF	71
ZNF629	72
TCP11X2	72
HNF4G	72
TRAF6	73
IRAK3	73
BRSK2	73
GPR101	74
SLC35E4	74
UNC93A	74
NDUFB11	74
HIP1	75
GLS2	75
CYRIB	75
LIN54	76
PHF21A	76
SP3	76
LHX8	77
SIK1B	77
GINS4	77
ATF6B	77
GEMIN2	78
CHTOP	78
SMN1	78
SMN2	78
SNU13	78
CAMK2G	79
CAMK2B	79
TNPO3	79
TTC5	79
CAMK2D	79
DUS1L	79
MPPED1	80
PHAF1	80
NPBWR2	80
CCL4	81
TMEM187	81
TAS2R5	81
ZC4H2	82
ATP4B	82
CMIP	82
CLDND1	83
ZDHHC4	83
CXCR1	83
KRT18	84
KRT24	84
KRT8	84
KRT6C	84
KRT79	84
KRT25	84
UBXN7	85
ZNRF1	85
CLEC19A	85
RAB3IP	86
RABIF	86
RAB3D	86
VRTN	86
RAB3A	86
SYCE1	87
LONP2	87
CFAP100	87
VEZT	88
C5	88
ANKS6	88
KEL	88
FAM25A	89
FAM25G	89
FAM25C	89
COX16	89
GPD1	89
S100A6	89
FAM126B	90
PDCL2	90
UNC13B	90
ZFYVE27	91
OTOP3	91
PIP4P2	91
KRT18	92
KRT71	92
KRT8	92
KRT79	92
KRT28	92
KRT25	92
KRTAP19-3	93
CAMK2G	93
CAMK2B	93
DUS1L	93
SMR3A	93
TSSK1B	94
TSSK2	94
TSKS	94
FAM229B	94
CYTH3	95
IPCEF1	95
CNKSR1	95
CYTH2	95
CYTH1	95
ZNF177	96
ZNF559-ZNF177	96
SNAP25	96
PMVK	96
GADD45B	97
CNOT9	97
GADD45A	97
LSM2	98
CLNS1A	98
SNRPD3	98
LSM6	98
LSM3	98
LSM12	98
TMEM143	99
DHRSX	99
FADS3	99
HBQ1	100
HBZ	100
HBA2	100
HBA1	100
HBE1	100
HBD	100
HBB	100
HBM	100
TMBIM1	101
B3GALNT2	101
PROK2	101
DCUN1D5	102
HUS1	102
RAD9A	102
ISL1	103
ZNF511	103
TMCO6	103
CLN5	104
INS-IGF2	104
IGF2	104
SERINC2	105
TMEM54	105
SLC12A7	105
KCNJ8	105
NID2	106
ANKRD13D	106
MAML3	106
SF3B4	107
ZNF3	107
SF3B2	107
CTIF	108
MIF4GD	108
EIF3G	108
DDX19B	108
DDX19A	108
CLEC1A	109
MRPS18B	109
CLEC12A	109
FUCA2	110
WNT11	110
KRTAP5-8	110
KPNA5	111
KPNA6	111
NUP50	111
DCPS	111
NMNAT1	111
KPNA2	111
CGGBP1	112
BOLA2B	112
BOLA2	112
SLITRK5	112
TK1	112
PAX9	113
KLF4	113
SFN	113
EIF2AK2	114
PRKRA	114
ADARB1	114
NKRF	114
STAU1	114
PNPT1	114
HMG20B	115
ERP29	115
WAC	115
PHETA1	116
PLEKHJ1	116
PHETA2	116
OCRL	116
MOB3C	117
PCYT1A	117
VKORC1L1	117
PCYT1B	117
CACNA1S	118
CCDC106	118
KBTBD7	118
ST6GAL2	119
SLC26A1	119
GIPC3	119
TBC1D5	120
FBXL7	120
CHIA	120
BAK1	121
BCL2A1	121
