protein name	cluster
BEX1	1
OTP	1
CCL21	1
TPGS2	1
EOMES	1
PSPC1	2
ZNF341	2
C11orf68	2
NONO	2
MTCL1	2
LGALSL	3
LHX2	3
FLYWCH1	3
ARHGAP32	3
OSMR	3
TACC3	4
KIZ	4
IQCD	4
CDC73	4
BICRAL	4
SMIM3	5
CD82	5
SGCB	5
SGCZ	5
SLC22A1	5
PPP1R13B	6
SALL1	6
FAM184A	6
MATN4	6
PPFIA3	6
FAM81A	7
NAP1L2	7
MED30	7
NAP1L5	7
NAP1L1	7
ANP32B	8
AIM2	8
MYNN	8
FDXACB1	8
DNTTIP1	8
TRAPPC2	9
TRAPPC2B	9
EPS15L1	9
TRAPPC5	9
SLC25A35	9
BUD23	10
TRMT112	10
ZBTB5	10
THUMPD3	10
METTL5	10
ZMYND12	11
THOC1	11
TTC29	11
MOAP1	11
PPP2R3C	11
MTUS2	12
BICD2	12
WTAP	12
RAP1B	12
TAF13	12
PRMT5	13
HEXIM2	13
ZNF500	13
HEXIM1	13
ZNF789	13
SULT2B1	14
SULT1B1	14
SRP72	14
SULT1C3	14
SULT2A1	14
TMEM200A	15
ARL15	15
UNC119	15
RCAN3	15
PDE6D	15
MIS18A	16
TEDC2	16
MED11	16
STX17	16
CNGA3	16
PPARG	17
ADCY4	17
RARG	17
NR2C1	17
RARA	17
L3MBTL2	18
MEAF6	18
ZFY	18
PHF10	18
TBC1D9B	18
EFEMP2	19
RAB40B	19
SLC16A5	19
SPACA9	19
DOK7	19
YAF2	20
MARK1	20
PCDH17	20
CD300LF	20
TSC22D4	20
BCL6	21
PBXIP1	21
ANKRD53	21
PPTC7	21
CFAP97D1	21
EFNA5	22
TSPAN33	22
UPK1B	22
GPR161	22
TMEM91	22
ANKRD37	23
ANKRD12	23
HIF1AN	23
ASB7	23
ANKRD50	23
IQUB	24
DIP2A	24
PKP3	24
PRR23D1	24
PRR23D2	24
SNX11	25
SMYD2	25
BTF3L4	25
NAA40	25
BTF3	25
IL6ST	26
SRL	26
KCNIP3	26
IGF1R	26
CD177	26
AKAP7	27
AKAP5	27
AKAP14	27
PRKAR2A	27
C8orf34	27
YTHDF1	28
VENTX	28
FOXI1	28
GGA1	28
ATXN7L1	28
PPFIA1	29
PPP2R5A	29
C1orf21	29
DZIP1	29
ERICH4	29
BNIP3	30
PKMYT1	30
HPN	30
SLC31A2	30
SLC6A17	30
HSD17B14	31
BRIP1	31
PGLYRP3	31
OTUD3	31
PIDD1	31
ALOX5	32
HSD17B1	32
CCDC174	32
OOEP	32
GATC	32
PSMB1	33
CCM2L	33
IMPACT	33
USE1	33
SERPINF1	33
FAM81B	34
OXNAD1	34
IFT20	34
CLEC4M	34
SH3BP5	34
FTSJ1	35
CERT1	35
SMU1	35
ACTL8	35
CSNK1G2	35
BIRC5	36
LAMTOR5	36
CCDC85B	36
RGS8	36
LAMTOR4	36
SMYD1	37
ZBTB3	37
RSPH6A	37
UTP14A	37
FAM166A	37
RWDD2A	38
MCMBP	38
FKBP5	38
ASL	38
MCM7	38
RBPMS2	39
RBFOX2	39
FUBP3	39
HNRNPU	39
DND1	39
CRMP1	40
DPYSL2	40
DPYSL3	40
DPYSL5	40
CFAP161	40
AJUBA	41
TRIP6	41
ZNF541	41
PTPN14	41
PER1	41
BYSL	42
PRICKLE1	42
TNFAIP8	42
MCIDAS	42
EAPP	42
TPRN	43
CLIC1	43
CLIC5	43
CLIC2	43
CLIC4	43
C2orf88	44
FAM153B	44
PRKAR1A	44
RSPH3	44
DTX1	44
ROPN1	45
ROPN1L	45
BTBD16	45
VPS33A	45
AKAIN1	45
COPS3	46
COPS8	46
PRXL2B	46
ARF4	46
NABP1	46
FHL5	47
UNKL	47
RAB26	47
SEC31A	47
ZNF766	47
RUVBL2	48
ZNHIT2	48
DNAJB4	48
DPCD	48
RUVBL1	48
MYRIP	49
RAB27A	49
SYTL1	49
SYTL3	49
OAZ2	49
STX1A	50
GPM6B	50
PAGE1	50
DDX49	50
STX10	50
GRIPAP1	51
BEX3	51
STAP1	51
ING4	51
NUAK2	51
ZNF446	52
ZSCAN29	52
ZNF232	52
ZSCAN30	52
SEC22C	52
RHOA	53
RIPOR2	53
ARHGEF2	53
RPP25L	53
POP7	53
MFAP3	54
GRIP1	54
WDR6	54
EEPD1	54
XDH	54
MAGOHB	55
ZNF566	55
ZFP14	55
ZFYVE1	55
RBM8A	55
SEPTIN1	56
SEPTIN5	56
SEPTIN12	56
SEPTIN2	56
SEPTIN11	56
AQP1	57
ZCCHC17	57
RNF122	57
TMEM38B	57
IL21R	57
C1orf105	58
SBK3	58
MBD3L2	58
GATAD2B	58
EXOSC2	58
GCA	59
MAGEA8	59
ZNF221	59
CCDC59	59
ZNF224	59
LGALS7B	60
LGALS7	60
TGM5	60
TAB1	60
SSBP1	60
SH3RF1	61
SORBS2	61
FGD1	61
SLC22A5	61
XIRP1	61
MAGEB4	62
GOLGA6L2	62
TRAK1	62
NEUROD4	62
FLOT2	62
ZC3H15	63
DRG1	63
DRG2	63
RWDD1	63
JMJD7	63
GAGE12G	64
GAGE12F	64
EXOC3L2	64
TNFSF18	64
GPR148	64
ATG5	65
ATG10	65
CCDC12	65
TECPR1	65
PSMB11	65
THRA	66
TACC1	66
SYAP1	66
THAP12	66
ERCC4	66
GPBP1	67
RACK1	67
MKRN2	67
TMEM131	67
LARP4B	67
NFE2L2	68
BACH2	68
SLC43A1	68
MAFG	68
MAFK	68
NFYB	69
DR1	69
CHRAC1	69
POLE3	69
POLE4	69
EMC2	70
SCN5A	70
EMC9	70
EMC8	70
HSP90B1	70
TRIM23	71
OAS1	71
RUFY1	71
UTP25	71
PPP1R15B	71
DERL3	72
GNLY	72
ULBP2	72
RTP4	72
TMEM92	72
TTC33	73
VTA1	73
MITD1	73
GPHN	73
CHMP2A	73
ZNF829	74
TLK1	74
GMNN	74
PTPN11	74
ZNF773	74
ZNF148	75
JADE1	75
YJU2	75
BRAP	75
TRIM15	75
CD81	76
SDHAF4	76
MCEE	76
BST2	76
LBR	76
PSORS1C2	77
RTRAF	77
MYL2	77
ERICH2	77
GUCA1C	77
PMS1	78
DYNLT3	78
ZC3H14	78
CCL28	78
C2orf15	78
RNF20	79
PSTPIP1	79
NCBP1	79
DHX40	79
PTPN12	79
DEF6	80
RAPGEF4	80
INTS2	80
ARHGAP22	80
SAP18	80
FMO1	81
LEPROTL1	81
GRINA	81
LMBR1	81
KLRG1	81
EAF1	82
CCDC150	82
GRHL3	82
ELL3	82
GCSAML	82
VTN	83
PLEKHA2	83
SNTG1	83
GIPC1	83
GIPC3	83
RRAS2	84
RGL3	84
RIT1	84
RIT2	84
FAM200A	84
LENG8	85
CEP68	85
COG2	85
NCBP3	85
KPNA4	85
PSMA1	86
YPEL5	86
GSDMD	86
PSMA2	86
AC010132.3	86
PPL	87
ZSCAN1	87
ACTR5	87
HECTD3	87
C6orf141	87
AIDA	88
PINX1	88
NKAPL	88
DDX41	88
RPL36A	88
ZRSR2P1	89
REP15	89
SRSF5	89
ZRSR2	89
GNG11	89
GPR25	90
SLCO4A1	90
RETN	90
CNIH4	90
TPRA1	90
SCMH1	91
SFMBT2	91
TFAP4	91
SLF2	91
LYPLA1	91
TAF9	92
DRAP1	92
TAF6L	92
GTF2B	92
TAF9B	92
TSG101	93
BRPF3	93
VPS37A	93
MZB1	93
HSH2D	93
EHHADH	94
CLDN18	94
ERGIC1	94
AARS2	94
TRIM63	94
ANOS1	95
NCALD	95
FGF6	95
TPSG1	95
SBSN	95
ANKRD11	96
FOLR3	96
CALCA	96
DEPTOR	96
BRCC3	96
CTBP2	97
CACNB1	97
TMEM174	97
CACNB2	97
CACNB4	97
NUFIP2	98
MXI1	98
FBLN5	98
MEGF11	98
PEAR1	98
HOOK2	99
HOOK1	99
LRGUK	99
AKTIP	99
IPP	99
LRATD1	100
TRIM72	100
ARHGAP8	100
PRR5-ARHGAP8	100
MZT1	100
CYGB	100
FXYD6	101
APCDD1L	101
IFITM3	101
SLC47A1	101
SVOP	101
FPR2	101
AP2S1	102
AAGAB	102
AP1S3	102
AP1G1	102
AP2A2	102
UBL7	102
RNF166	103
SEPHS1	103
XAF1	103
AKT1	103
RNF114	103
GLS2	103
CLDN9	104
FNDC9	104
ITM2A	104
SIT1	104
GCNT2	104
DEFB132	104
NCS1	105
CEP89	105
RNASEH1	105
PRDM4	105
SPP1	105
SIGLEC9	105
EIF4A3	106
CASC3	106
DDX56	106
ZXDB	106
PDCD4	106
EIF4A2	106
TNMD	107
RPRM	107
SNX12	107
SERTM1	107
SNX3	107
FGD2	107
ZNF165	108
ZNF250	108
ZNF329	108
ZCCHC13	108
NEXN	108
DRC3	108
CLK2	109
SNRNP70	109
CACTIN	109
ZNF136	109
RSRP1	109
PRM1	109
CRLF3	110
SNF8	110
VPS25	110
SEPTIN14	110
VPS36	110
CHMP6	110
CSGALNACT2	111
CXCL9	111
TNFSF8	111
EPGN	111
TMED5	111
FUT7	111
S100B	112
S100A3	112
S100Z	112
S100A2	112
S100A1	112
S100A4	112
TRIM27	113
TADA2A	113
FASTKD5	113
NCOA1	113
BABAM1	113
PUS7L	113
TMEM60	114
TMEM254	114
BTN2A2	114
SNORC	114
PGAP2	114
TTYH1	114
JAKMIP2	115
CLIP4	115
ZNF8	115
ZNF114	115
MAP7	115
TPPP	115
PAX5	116
PAX6	116
GRHL2	116
LARP4	116
SLC12A8	116
PAX8	116
YIPF6	117
TMEM203	117
PNLIPRP1	117
JKAMP	117
RAET1L	117
SLC17A8	117
ZRANB1	118
TIE1	118
CBX7	118
MPPED1	118
PHAF1	118
NPBWR2	118
SS18L2	119
GNG3	119
YY1AP1	119
TMEM17	119
LYPD6	119
MBD5	119
PCNA	120
TERF1	120
ARHGEF3	120
MSH3	120
PCLAF	120
AC087632.2	120
RAD54L2	121
DZIP3	121
PIAS2	121
HNRNPUL1	121
MX1	121
C5orf24	121
HNRNPA2B1	122
ATXN7L3	122
ENY2	122
