cluster	p-value	GO-term
15	10.13	GO:0000122
19	13.06	GO:0006886
21	6.56	GO:0000122
58	6.56	GO:0000122
61	10.01	GO:0000165
62	15.27	GO:0006367
83	5.92	GO:0000122
93	11.81	GO:0006886
102	9.61	GO:0000398
110	9.47	GO:0000165
121	13.53	GO:0006357
131	13.53	GO:0006357
138	16.23	GO:0007596
148	4.35	GO:0000122
150	8.99	GO:0007165
153	4.09	GO:0000122
155	17.17	GO:0005977
157	9.13	GO:0000209
166	3.65	GO:0000122
168	7.66	GO:0006357
170	13.58	GO:0006334
175	11.05	GO:0006397
176	13.99	GO:0016338
185	5.78	GO:0006357
186	10.96	GO:0031424
190	6.95	GO:0000122
191	8.4	GO:0006888
192	9.46	GO:0006397
193	20.44	GO:0000122
196	38.8	GO:0006357
197	8.55	GO:0000122
199	4.8	GO:0000398
201	2.99	GO:0000122
202	12.08	GO:0031424
203	2.12	GO:0008150
204	1.63	GO:0000122
205	1.76	GO:0000122
206	3.1	GO:0008150
207	2.51	GO:0000122
208	130.47	GO:0031424
209	2.81	GO:0008150
