cluster	p-value	GO-term
9	108.89	GO:0031424
18	31.06	GO:0070268
36	31.06	GO:0070268
43	16.13	GO:0048026
51	29.72	GO:0006357
55	23.87	GO:0034244
64	20.65	GO:0061640
69	13.39	GO:0006357
84	17.92	GO:0070268
92	17.92	GO:0070268
100	50.43	GO:0042744
111	18.71	GO:0006607
122	13.44	GO:0000398
132	21.57	GO:0043328
138	19.4	GO:0070936
154	5.87	GO:0006357
164	21.57	GO:0046314
183	21.57	GO:0090110
188	20.83	GO:0002181
200	8.03	GO:0006357
206	5.87	GO:0006357
212	21.57	GO:0090110
215	23.87	GO:0006164
230	28.05	GO:0006749
250	18.06	GO:0006888
262	22.48	GO:0006208
274	18.73	GO:1902600
283	21.57	GO:0090110
305	16.3	GO:0043161
308	16.08	GO:0006357
315	10.71	GO:0006357
327	25.26	GO:0005980
354	18.06	GO:0016579
358	21.48	GO:0006888
366	25.93	GO:0042744
