cluster	p-value	GO-term
7	16.43	GO:0006334
9	15.76	GO:0006888
14	28.57	GO:0051923
40	21.57	GO:0006208
43	16.63	GO:1902476
52	9.17	GO:0006357
63	26.44	GO:0002181
68	9.17	GO:0006357
70	19.4	GO:0071816
89	12.53	GO:0000398
108	5.25	GO:0006357
110	19.96	GO:0043328
161	15.74	GO:1902600
169	8.15	GO:0006357
172	11.55	GO:0006886
191	16.31	GO:0000387
193	4.76	GO:0006357
196	4.76	GO:0006357
201	21.56	GO:0071805
215	6.75	GO:0006357
219	11.09	GO:0045944
234	9.58	GO:0006357
238	4.36	GO:0006357
246	6.23	GO:0006357
247	4.03	GO:0006357
255	10.69	GO:0007165
256	48.92	GO:0042744
261	10.43	GO:0000398
270	17.48	GO:0034472
276	11.23	GO:0030154
283	22.2	GO:0006342
285	3.74	GO:0006357
290	5.79	GO:0006357
301	3.49	GO:0006357
302	17.16	GO:1990573
305	9.57	GO:0006355
314	10.09	GO:0070268
321	9.13	GO:0006357
326	3.09	GO:0006357
333	4.51	GO:0006357
334	15.81	GO:0070936
335	2.92	GO:0006357
337	6.43	GO:0006357
343	12.55	GO:0006357
344	5.79	GO:0006357
345	16.63	GO:0098962
353	2.5	GO:0006357
354	2.5	GO:0006357
356	3.68	GO:0006357
358	31.97	GO:0031146
362	4.81	GO:0006357
370	1.91	GO:0006357
371	1.91	GO:0006357
373	1.85	GO:0006357
376	35.82	GO:0006357
377	3.65	GO:0006357
378	86.79	GO:0070268
386	8.87	GO:0006357
387	6.77	GO:0006357
388	2.1	GO:0006357
389	8.16	GO:0007186
392	3.51	GO:0006357
395	1.46	GO:0006357
396	56.42	GO:0070268
397	2.28	GO:0006357
398	1.61	GO:0006357
399	1.61	GO:0006357
400	4.65	GO:0007155
401	10.27	GO:0030198
402	2.32	GO:0006357
403	12.11	GO:0055085
404	180.42	GO:0031424
